PERIOD,RADIUS,DENSITY,NUM_PLANETS,DURATION,TEFF,DEPTH,DISPOSITION_ENCODED
3.9854465,16.4220671,0.993,1.0,4.5181131,5904.0,8800.6144816,1
20.7106368,1.12,4.77757,1.0,2.693,5631.0,142.5,1
0.3969687,2.108062,0.993,1.0,1.5006666,7381.0,110.7179018,1
4.05943749,2.11,0.08853,1.0,3.245,5051.0,105.4,0
3.3526843,11.1102207,0.993,1.0,3.9579058,6245.0,11429.0738935,1
0.62927655,4.64,0.40845,1.0,0.9698,5628.0,839.5,0
21.6836634,3.567,0.993,1.0,2.641,5726.0,1546.0,1
2.7340756,9.45026,0.993,1.0,1.994,8524.0,1700.0,1
5.4240992,5.12394,0.993,1.0,2.487,5386.0,2519.0,1
22.84518,15.1752,0.993,1.0,7.215,5963.1,9210.0,0
0.849277809,20.11,0.0598,1.0,3.137,5743.0,690.8,0
3.6130857,23.3477984,0.993,1.0,1.7149191,7520.0,12550.1377027,1
11.99097576,37.47,0.02742,1.0,5.7401,6110.0,2124.3,0
0.745086745,1.29,0.07932,1.0,4.29,5325.0,270.0,0
